Ticker,Strategy,1d,10d,20d,60d,ytd,1y,Sharpe_10d,Sharpe_20d,Sharpe_60d,Sharpe_ytd,Sharpe_1y
VGK,Selling Daily ATM Call,0.002990272416775852,0.0009600341158233494,-0.001815579339236928,-0.027061464594683504,-0.020677893761399835,0.006108395443911174,0.2589201759701981,-0.2132227287312788,-0.9574680140079338,-0.35737760252891493,0.11045506038898904
VGK,Selling Daily ATM Put,-0.00946098016303043,-0.020498919477269673,-0.00370093500213009,0.0148780057651976,-0.00580088470216189,0.14181437050304524,-3.829786412048951,-0.3187634333610082,0.4723034297886902,-0.018996472858465528,1.0351617581225747
VGK,Selling Daily Strangle,-0.009532414019703062,6.23958312373496e-06,-0.011106910728637232,-0.002713381919993152,-0.024906488166521523,-0.05469207728635028,0.08297096523656444,-0.886013941734552,-0.06703561057355438,-0.5983634710236814,-0.49736892820105977
VGK,Selling Daily 25d Call,0.00042940697381088633,0.008759816067024584,-0.0020435707375087153,-0.008676657381939346,-0.005014595374298381,-0.020377790995374845,3.5266931756688917,-0.45161705093684235,-0.594286149612747,-0.2078981981244411,-0.28165550747398255
VGK,Selling Daily 25d Put,-0.009961820993513948,-0.00873611820665754,-0.009063029801233413,0.005545507434851382,-0.02061513387969849,-0.03612128359027178,-1.1561820315558942,-0.7848660384599504,0.27931792814806833,-0.4717831520655241,-0.3531453495766187
VGK,"Sell 25d Put, Buy 25d Call",-0.010391227967324723,-0.017547289066291993,-0.0072335179008165,0.013053447159653064,-0.017372312891485997,-0.021395403712835104,-2.1777989981359243,-0.5678096843796216,0.47517432299943646,-0.2823602095739539,-0.11491987919694338
VGK,Stock,-0.012351274787535504,-0.02023381294964033,0.0005739869130987341,0.048352177050758005,0.024929444967074277,0.17150537634408858,-2.1869645968394207,0.12644778225921693,0.9819147808888282,0.387394876973621,1.0767986656760042
INDA,Selling Daily ATM Straddle,-0.004275711524925341,0.0034779989543376466,0.015605691894506002,0.029674323316764672,0.010038435963995562,0.06889522556037231,0.9962765786320652,2.4442011895731746,1.6785801676694863,0.2701626752189412,0.8779209876232033
INDA,Selling Daily ATM Call,0.006425754928544691,-0.0085796346862681,-0.0021217793906620486,0.0005716484637976471,0.0579110185502707,0.11040985124047187,-2.2392896047843456,-0.2626436744103911,0.07520786285493374,1.2466245340968392,1.3075906809695892
INDA,Selling Daily ATM Put,-0.010701466453470032,0.011863645143550983,0.01736273894226925,0.026680634467864284,-0.04813607156340238,-0.04138144051774073,2.462629593250574,2.295265169993889,0.9891764221145813,-0.9240752835039996,-0.43651629388235563
INDA,Selling Daily Strangle,-0.0005305770469841153,0.0038624563602671635,0.016666932347697117,0.03620501379208996,0.010292933198180032,0.05736107406993263,2.8489305315968996,5.971844369538539,3.2724207940011287,0.46710430866752206,1.328427054136527
INDA,Selling Daily 25d Call,0.0036844684339154554,-0.0038839087264178618,0.0023837595962001856,0.01068469658750848,0.0337507666818182,0.06510562743558412,-1.8101083900940977,0.7248550828034706,0.9227087906782301,1.506795676300879,1.646293958921466
INDA,Selling Daily 25d Put,-0.004215045480899571,0.007684913038062513,0.014136850686680802,0.024691240056178065,-0.023561936659367566,-0.008459490816413506,3.415210294008091,3.641243089394423,1.588931764874255,-0.7972604967502758,-0.137395284063926
INDA,"Sell 25d Put, Buy 25d Call",-0.007899513914815026,0.01141790191615133,0.011475100174550334,0.01272122030821321,-0.057343149011181316,-0.07159008226503871,2.773751250218059,1.7366720608765087,0.5478615599502934,-1.2315754377794548,-0.8743108596807825
INDA,Stock,-0.017027243589743613,0.02186588921282806,0.021865889212828282,0.030233046399328778,-0.09264053254437743,-0.11169442433019505,2.7975264422027264,1.7185278014742682,0.6911752944529409,-1.030635560167905,-0.7078603527163908
FXI,Selling Daily ATM Straddle,-0.011643398686729367,-0.009581774965068401,-0.010539842145934064,0.026602959486099698,0.04392397494201106,0.17435126039493443,-1.7006739884593616,-1.1993175553091633,1.118282323495172,0.9553825372102469,1.4833388459200816
FXI,Selling Daily ATM Call,0.003202265023904527,0.03470889279731382,0.045351425239660736,0.051845221475717906,0.127324480955322,0.1316605345292421,7.191595916234717,4.586545928730635,1.7801177945493407,2.404944851920818,1.1561633214181186
FXI,Selling Daily ATM Put,-0.014845663710633783,-0.04313961694458546,-0.05420196178762904,-0.0260261863368334,-0.07736580145412353,0.03066274690271209,-8.865358329120966,-6.0007122118797005,-0.9177864068515396,-1.4250839978568877,0.31733744157078597
FXI,Selling Daily Strangle,-0.0010597718596921935,0.0004363361323267423,-0.0015498751288337553,0.028517432925588837,0.0318095242464993,0.08837334927157325,0.23465959748448367,-0.36269815513126186,2.350757278835495,1.1450735182061145,1.3937310171106938
FXI,Selling Daily 25d Call,0.004068517703705421,0.017870791114041218,0.022808797706680872,0.030093377879104155,0.059987716527557966,0.07676332200717884,10.818319251111262,5.421891474413447,2.329204136776022,1.9883111200440842,1.2594549230979277
FXI,Selling Daily 25d Put,-0.0051282895633976144,-0.01723089601944483,-0.024021749049576657,-0.0020767903093938944,-0.02759690781136237,0.008738130797041777,-6.091081035420887,-4.4618844758642195,-0.10054274018853868,-0.9294707085573606,0.1658107197618401
FXI,"Sell 25d Put, Buy 25d Call",-0.009196807267103146,-0.03467646853851325,-0.04621236584316535,-0.03243791918861483,-0.08537901872613507,-0.06846946857383496,-8.44455441977708,-5.320835366765165,-1.2152320234936889,-1.6667911389365282,-0.5939208870965933
FXI,Stock,-0.01794795094226742,-0.0744290950098675,-0.09409492273730691,-0.07102433503112615,-0.17553992968357623,-0.07181227028555237,-9.502163050120494,-5.690776482080406,-1.3415791500533527,-1.9490517277648323,-0.27267320840530257
EWJ,Selling Daily ATM Straddle,-0.007199413362450668,-0.015327378930928837,-0.034886654076506596,0.014089492846446783,-0.029216368047444652,0.22449592033293087,-2.968607407418991,-3.383733385541258,0.5771521783064671,-0.4271908245264505,1.0136539487327647
